Sagrada Familia|Barcelona, Spain
The Forbidden City|Beijing, China
Lascaux Caves|France
Kilimanjaro|Tanzania
Trafalgar Square|London, England
Hagia Sophia|Istanbul, Turkey
Santorini|Greece
Westminster Abbey|London, England
Blue Mosque|Istanbul, Turkey
Alcatraz|San Francisco
Tivoli Gardens|Copenhagen, Denmark
Mount Rushmore|South Dakota
Millau Bridge|France
Alhambra|Granada, Spain
Piazza Del Campo|Siena, Italy
Empire State Building|New York
Papel Palace|Avignon, France
Sistine Chapel|Vatican City
Victoria Falls|Zambia
Pyramids of Giza|Egypt
Loch Ness|Scotland
Sydney Harbor Bridge|Australia
Ellis Island|New York / New Jersey
Petra|Jordan
Central Park|New York
Tower Bridge|London
Mount Fuji|Japan
Brandenburg Gate|Berlin, Germany
Capitol Hill|Washington, D.C
Machu Picchu|Peru
Acropolis|Greece
Wailing Wall|Jerusalem
Chapel Bridge|Switzerland
Golden Gate Bridge|San Francisco
Atomium|Brussels, Belgium
Table Mountain|South Africa
Iguazu National Park|Argentina
Tokyo Tower|Japan
Great Buddha|India
Winter Palace|Saint Petersburg, Russia
Giants Causeway|Ireland
Ponte Vecchio|Florence, Italy
CN Tower|Toronto, Canada
Rock of Gibraltar|EUROPE
Chichen Itza|Mexico
Big Ben|London
British Museum|London
Uluru|Australia
Cliffs of Moher|Ireland
Arc de Triomphe|Paris, France
Petronas Twin Towers|Kuala Lumpur, Malaysia
Newgrange|Co. Meath, Ireland
Spanish Steps|Rome, Italy
Arena Di Verona|Verona, Italy
The Grand Canyon|Arizona, USA
White Cliffs of Dover|England
Mount Everest|Nepal
Oriental Pearl Tower|Shanghai, China
Louvre Museum|Paris, France
Bridge of Sighs|Venice, Italy
Neuschwanstein Castle|Schwangau, Germany
Bryce Canyon National Park|Utah
Bran Castle|Romania
Kremlin|Moscow‎, Russia
Juliet's Balcony|Verona, Italy
London Eye|London, England
Fortress Hohensalzburg|Salzburg, Austria
Kronborg Castle|Denmark
Gateway Arch|St. Louis
Great Wall of China|China
Burj Khalifa|Dubai, United Arab Emirates
Pompeii|Campania, Italy
Space Needle|Seattle, Washington
Mont St Michel|France
Tower of London|London, England
Notre Dame|Paris, France
Prague Castle|Prague, Czech Republic
Taj Mahal|Agra, India
Madrid Palace|Madrid, Spain
Times Square|New York
Death Valley|California
Statue of Liberty|New York
Windsor Castle|Windsor, England
Niagara Falls|
Little Mermaid|
Colosseum|
Buckingham Palace|
Monument Valley|
Berlin Wall|
Stonehenge|
Moulin Rouge|
Yellowstone National Park|
The Shard|
Everglades National Park|
Hollywood Sign|
Sydney Opera House|
Terracotta Warriors|
The Great Sphinx|
Potala Palace|Lhasa, China
Rialto Bridge|
Mount Etna|
Redwood National Park|
Brooklyn Bridge|
Temple of Luxor|
Pompidue Center|
Edinburgh Castle|
Matterhorn|
Manneken Pis|Brussels
Christ the Redeemer|Rio De Janerio, Brazil
Angkor Wat|Cambodia|
Hollywood Walk of Fame|
Piccadilly Circus|
Blue Lagoon|
Washington Monument|
The White House|
Mecca|
Pond Du Garre|
Leaning Tower of Pisa|
Trevi Fountain|
Eiffel Tower|Paris, France
Cologne Cathedral|
Sacre Coeur|Paris, France
